,Bal,Brick,Dist,Flat URL,Floor,Kitsp,Livesp,Metrdist,N,New,Nfloor,Price,Rooms,Tel,Totsp,Walk
0,1.0,0,1.7817103781050454,150919303,7,15.0,80.0,10.0,0,0,10.0,68000000.0,2,0.0,99.0,1.0
1,1.0,1,1.7433886580310984,150425454,6,20.0,50.0,12.0,1,1,8.0,27786800.0,2,,78.5,1.0
2,2.0,1,2.978800870726823,149914299,6,14.0,57.0,7.0,2,1,9.0,48000000.0,3,,148.0,1.0
3,0.0,0,3.7882329303994866,149031259,2,,17.3,6.0,3,1,,4585315.0,1,,17.3,1.0
4,,1,3.7882329303994866,151004941,2,,10.0,6.0,4,1,5.0,4814581.0,1,,17.3,1.0
5,0.0,1,3.815344615914285,150346368,2,,17.3,5.0,5,0,6.0,4814581.0,1,0.0,17.3,1.0
6,,1,4.352409061001355,150683709,4,,19.8,,6,1,19.0,4897200.0,9,,27.4,
7,,1,4.352409061001355,150682443,5,,19.8,,7,1,19.0,5168000.0,9,,27.2,
8,0.0,0,3.7882329303994866,149031296,4,,18.1,6.0,8,1,,5225953.0,1,,18.1,1.0
9,,0,3.8240334740446054,150640194,1,7.0,20.0,4.0,9,0,9.0,5300000.0,1,1.0,32.0,1.0
10,,1,3.7882329303994866,151004981,5,,10.0,6.0,10,1,5.0,5377566.0,1,,18.3,1.0
11,0.0,1,3.815344615914285,148794719,2,,23.7,5.0,11,0,6.0,5496232.0,1,0.0,23.7,1.0
12,1.0,0,4.812484619562877,149565205,1,9.6,20.0,10.0,12,0,1.0,5550000.0,1,,37.4,1.0
13,,1,4.352409061001355,150683797,5,,21.7,,13,1,19.0,5738000.0,9,,31.8,
14,,1,4.352409061001355,150684102,4,,23.9,,14,1,19.0,5738000.0,9,,38.0,
15,1.0,1,6.097518083733642,149849414,3,6.0,16.0,,15,0,5.0,5900000.0,1,1.0,30.0,
16,,0,6.05869238394482,149300855,1,10.0,20.0,13.0,16,0,12.0,6000000.0,1,,35.0,1.0
17,1.0,0,3.9221749039613076,149788538,12,9.6,20.1,10.0,17,0,12.0,6000000.0,1,1.0,35.1,0.0
18,1.0,1,3.9487536363918996,148112883,2,8.0,21.0,12.0,18,0,5.0,6100000.0,1,1.0,34.0,1.0
19,1.0,0,3.9221749039613076,149727197,12,10.0,20.0,10.0,19,0,12.0,6100000.0,1,1.0,36.0,1.0
20,,1,3.7882329303994866,151005044,4,,15.0,6.0,20,1,4.0,6258687.0,1,,25.5,1.0
21,0.0,0,3.7882329303994866,149031382,4,,25.5,6.0,21,1,,6258687.0,1,,25.5,1.0
22,,1,3.7882329303994866,151005116,3,,17.0,6.0,22,1,4.0,6325576.0,1,,30.0,1.0
23,0.0,1,3.810116156113054,148800467,3,,29.5,5.0,23,0,6.0,6325576.0,1,0.0,29.5,1.0
24,0.0,0,3.7882329303994866,149031279,3,,22.3,6.0,24,1,,6355668.0,1,,22.3,1.0
25,1.0,0,6.332048955994337,150459322,2,10.0,18.0,10.0,25,0,12.0,6400000.0,1,1.0,34.0,1.0
26,,1,3.7882329303994866,151005216,3,,18.0,6.0,26,1,4.0,6437035.0,1,,33.5,1.0
27,,1,3.7882329303994866,151005085,4,,16.0,6.0,27,1,4.0,6449418.0,1,,28.5,1.0
28,,1,5.167150201449541,150573770,71,,77.8,3.0,28,0,95.0,35000000.0,7,1.0,77.8,1.0
29,,1,2.6611278735263606,30352258,3,8.0,16.0,3.0,29,0,8.0,12900000.0,1,1.0,32.0,1.0
30,1.0,1,1.9193800762662547,149317029,7,15.0,142.0,9.0,30,0,14.0,129000000.0,6,0.0,202.0,0.0
31,0.0,0,3.7882329303994866,149031259,2,,17.3,6.0,31,1,,4585315.0,1,,17.3,1.0
32,,1,3.7882329303994866,151004941,2,,10.0,6.0,32,1,5.0,4814581.0,1,,17.3,1.0
33,0.0,1,3.815344615914285,150346368,2,,17.3,5.0,33,0,6.0,4814581.0,1,0.0,17.3,1.0
34,,1,4.352409061001355,150683709,4,,19.8,,34,1,19.0,4897200.0,9,,27.4,
35,,1,4.352409061001355,150682443,5,,19.8,,35,1,19.0,5168000.0,9,,27.2,
36,0.0,0,3.7882329303994866,149031296,4,,18.1,6.0,36,1,,5225953.0,1,,18.1,1.0
37,,0,3.8240334740446054,150640194,1,7.0,20.0,4.0,37,0,9.0,5300000.0,1,1.0,32.0,1.0
38,,1,3.7882329303994866,151004981,5,,10.0,6.0,38,1,5.0,5377566.0,1,,18.3,1.0
39,0.0,1,3.815344615914285,148794719,2,,23.7,5.0,39,0,6.0,5496232.0,1,0.0,23.7,1.0
40,1.0,0,4.812484619562877,149565205,1,9.6,20.0,10.0,40,0,1.0,5550000.0,1,,37.4,1.0
41,,1,4.352409061001355,150683797,5,,21.7,,41,1,19.0,5738000.0,9,,31.8,
42,,1,4.352409061001355,150684102,4,,23.9,,42,1,19.0,5738000.0,9,,38.0,
43,1.0,1,6.097518083733642,149849414,3,6.0,16.0,,43,0,5.0,5900000.0,1,1.0,30.0,
44,,0,6.05869238394482,149300855,1,10.0,20.0,13.0,44,0,12.0,6000000.0,1,,35.0,1.0
45,1.0,0,3.9221749039613076,149788538,12,9.6,20.1,10.0,45,0,12.0,6000000.0,1,1.0,35.1,0.0
46,1.0,1,3.9487536363918996,148112883,2,8.0,21.0,12.0,46,0,5.0,6100000.0,1,1.0,34.0,1.0
47,1.0,0,3.9221749039613076,149727197,12,10.0,20.0,10.0,47,0,12.0,6100000.0,1,1.0,36.0,1.0
48,,1,3.7882329303994866,151005044,4,,15.0,6.0,48,1,4.0,6258687.0,1,,25.5,1.0
49,0.0,0,3.7882329303994866,149031382,4,,25.5,6.0,49,1,,6258687.0,1,,25.5,1.0
50,,1,3.7882329303994866,151005116,3,,17.0,6.0,50,1,4.0,6325576.0,1,,30.0,1.0
51,0.0,1,3.810116156113054,148800467,3,,29.5,5.0,51,0,6.0,6325576.0,1,0.0,29.5,1.0
52,0.0,0,3.7882329303994866,149031279,3,,22.3,6.0,52,1,,6355668.0,1,,22.3,1.0
53,1.0,0,6.332048955994337,150459322,2,10.0,18.0,10.0,53,0,12.0,6400000.0,1,1.0,34.0,1.0
54,,1,3.7882329303994866,151005216,3,,18.0,6.0,54,1,4.0,6437035.0,1,,33.5,1.0
